org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,NHS Trust,CA2 7HY,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS Trust,HG2 7SX,North East and Yorkshire,true,202104,202606,63,true,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NHS Trust,NG7 2UH,Midlands,true,202104,202606,63,true,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NHS Trust,CT1 3NG,South East,true,202104,202606,63,true,QKS,NHS Kent And Medway Integrated Care Board,QKS,NHS Kent And Medway Integrated Care Board
NNJ13,MELTON MOWBRAY,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NNFA7,GOOLE & DISTRICT HOSPITAL,Other provider,,North East and Yorkshire Commissioning Region,,202104,202606,0,false,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
NVE43,HASTINGS GP LED HEALTH CENTRE,Other provider,,South East Commissioning Region,,202510,202606,0,false,QNX,NHS Sussex Integrated Care Board,,
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,NHS Trust,IG3 8XJ,London,true,202104,202606,0,false,QMF,NHS North East London Integrated Care Board,QMF,NHS North East London Integrated Care Board
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,NHS Trust,SS0 0RY,East of England,true,202104,202606,63,true,QH8,NHS Mid And South Essex Integrated Care Board,QH8,NHS Mid And South Essex Integrated Care Board
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NHS Trust,WV10 0QP,Midlands,true,202104,202606,63,true,QUA,NHS Black Country Integrated Care Board,QUA,NHS Black Country Integrated Care Board
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NHS Trust,KT16 0PZ,South East,true,202104,202606,63,true,QXU,NHS Surrey Heartlands Integrated Care Board,QXU,NHS Surrey Heartlands Integrated Care Board
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS Trust,HA1 3UJ,London,true,202104,202606,63,true,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,NHS Trust,S10 2TH,North East and Yorkshire,true,202104,202606,63,true,QF7,NHS South Yorkshire Integrated Care Board,QF7,NHS South Yorkshire Integrated Care Board
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS Trust,L8 7SS,North West,true,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,NHS Trust,S42 7JE,Midlands,true,202104,202606,0,false,QJ2,NHS Derby And Derbyshire Integrated Care Board,QJ2,NHS Derby And Derbyshire Integrated Care Board
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,NHS Trust,AL7 1BW,East of England,true,202104,202606,0,false,QM7,NHS Hertfordshire And West Essex Integrated Care Board,QM7,NHS Hertfordshire And West Essex Integrated Care Board
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,NHS Trust,KT2 7QB,London,true,202104,202606,63,true,QWE,NHS South West London Integrated Care Board,QWE,NHS South West London Integrated Care Board
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS Trust,WR5 1DD,Midlands,true,202104,202606,63,true,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,QGH,NHS Herefordshire And Worcestershire Integrated Care Board
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS Trust,B15 2GW,Midlands,true,202104,202606,63,true,QHL,NHS Birmingham And Solihull Integrated Care Board,QHL,NHS Birmingham And Solihull Integrated Care Board
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS Trust,NR31 6LA,East of England,true,202104,202606,63,true,QMM,NHS Norfolk And Waveney Integrated Care Board,QMM,NHS Norfolk And Waveney Integrated Care Board
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Trust,GL53 7AN,South West,true,202104,202606,63,true,QR1,NHS Gloucestershire Integrated Care Board,QR1,NHS Gloucestershire Integrated Care Board
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NHS Trust,M6 8HD,North West,true,202104,202606,63,true,QOP,NHS Greater Manchester Integrated Care Board,QOP,NHS Greater Manchester Integrated Care Board
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,NHS Trust,L9 7LJ,North West,true,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NHS Trust,S75 2EP,North East and Yorkshire,true,202104,202606,63,true,QF7,NHS South Yorkshire Integrated Care Board,QF7,NHS South Yorkshire Integrated Care Board
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,Other provider,,South East Commissioning Region,,202104,202606,0,false,QNX,NHS Sussex Integrated Care Board,QNX,NHS Sussex Integrated Care Board
NDA57,HASLEMERE MINOR INJURIES UNIT,Other provider,,South East Commissioning Region,,202104,202312,0,false,QXU,NHS Surrey Heartlands Integrated Care Board,QXU,NHS Surrey Heartlands Integrated Care Board
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,NHS Trust,PL6 8DH,South West,true,202104,202606,63,true,QJK,NHS Devon Integrated Care Board,QJK,NHS Devon Integrated Care Board
