org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,NHS Trust,B4 6NH,Midlands,true,202104,202606,63,true,QHL,NHS Birmingham And Solihull Integrated Care Board,QHL,NHS Birmingham And Solihull Integrated Care Board
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NHS Trust,NE7 7DN,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS Trust,W2 1BL,London,true,202104,202606,63,true,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NHS Trust,TN37 7PT,South East,true,202104,202606,63,true,QNX,NHS Sussex Integrated Care Board,QNX,NHS Sussex Integrated Care Board
8J094,BADGER LTD,Other provider,,Midlands Commissioning Region,,202104,202603,0,false,QHL,NHS Birmingham And Solihull Integrated Care Board,QHL,NHS Birmingham And Solihull Integrated Care Board
C82038,LATHAM HOUSE MEDICAL PRACTICE,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board"
NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),Other provider,,Midlands Commissioning Region,,202104,202603,0,false,QHL,NHS Birmingham And Solihull Integrated Care Board,QHL,NHS Birmingham And Solihull Integrated Care Board
L83087,OKEHAMPTON MEDICAL CENTRE,Other provider,,South West Commissioning Region,,202104,202606,0,false,QJK,NHS Devon Integrated Care Board,QJK,NHS Devon Integrated Care Board
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,Other provider,,South East Commissioning Region,,202104,202606,0,false,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board
ACH01,WHITSTABLE MEDICAL PRACTICE,Other provider,,South East Commissioning Region,,202206,202606,0,false,QKS,NHS Kent And Medway Integrated Care Board,QKS,NHS Kent And Medway Integrated Care Board
NNF16,BRIDLINGTON HOSPITAL,Other provider,,North East and Yorkshire Commissioning Region,,202407,202606,0,false,QOQ,NHS Humber And North Yorkshire Integrated Care Board,,
G3P9C,TROWBRIDGE MINOR INJURIES UNIT,Other provider,,South West Commissioning Region,,202505,202606,0,false,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",,
AQM01,FAVERSHAM MEDICAL PRACTICE MIU,Other provider,,NHS ENGLAND SOUTH EAST,,202505,202606,0,false,,,,
Y02147,URGENT CARE CENTRE (QMS),Other provider,,NHS ENGLAND LONDON,,202104,202509,0,false,,,,
AC008,ROSSENDALE MINOR INJURIES UNIT,Other provider,,NHS ENGLAND NORTH WEST,,202104,202204,0,false,,,,
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NHS Trust,CH42 0LQ,North West,true,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NHS Trust,TQ2 7AA,South West,true,202104,202606,63,true,QJK,NHS Devon Integrated Care Board,QJK,NHS Devon Integrated Care Board
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NHS Trust,TR1 3LJ,South West,true,202104,202606,63,true,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS Trust,HU3 2JZ,North East and Yorkshire,true,202104,202606,63,true,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS Trust,BN11 2DH,South East,true,202104,202606,63,true,QNX,NHS Sussex Integrated Care Board,QNX,NHS Sussex Integrated Care Board
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,NHS Trust,WD18 0HB,East of England,true,202104,202606,63,true,QM7,NHS Hertfordshire And West Essex Integrated Care Board,QM7,NHS Hertfordshire And West Essex Integrated Care Board
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NHS Trust,SR4 7TP,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NHS Trust,RM7 0AG,London,true,202104,202606,63,true,QMF,NHS North East London Integrated Care Board,QMF,NHS North East London Integrated Care Board
C83023,SLEAFORD MEDICAL GROUP,Other provider,,Midlands Commissioning Region,,202104,202606,0,false,QJM,NHS Lincolnshire Integrated Care Board,QJM,NHS Lincolnshire Integrated Care Board
DD401,EXMOUTH MINOR INJURY UNIT,Other provider,,South West Commissioning Region,,202104,202312,0,false,QJK,NHS Devon Integrated Care Board,QJK,NHS Devon Integrated Care Board
NNF94,EAST RIDING COMMUNITY HOSPITAL,Other provider,,North East and Yorkshire Commissioning Region,,202104,202606,0,false,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
NV693,ROSSENDALE MIU & OOH,Other provider,,North West Commissioning Region,,202205,202606,0,false,QE1,NHS Lancashire And South Cumbria Integrated Care Board,QE1,NHS Lancashire And South Cumbria Integrated Care Board
NNJ11,LUTTERWORTH HOSPITAL,Other provider,,Midlands Commissioning Region,,202603,202606,0,false,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,
G82071,WHITSTABLE MEDICAL PRACTICE,Other provider,,NHS ENGLAND SOUTH EAST,,202104,202205,0,false,,,,
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),Other provider,,,,202104,202605,0,false,,,,
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,Other provider,,,,202104,202605,0,false,,,,
NPG23,SPAMEDICA DERBY,Other provider,,,,202104,202605,0,false,,,,
NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT308,SPIRE GATWICK PARK HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT351,SPIRE HULL AND EAST RIDING HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT405,BISHOPS WOOD HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT408,CHAUCER HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT412,DROITWICH SPA HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT445,EDGBASTON HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT451,CAVELL HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT455,MOUNT ALVERNIA HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC0Y,EXETER MEDICAL,Other provider,,,,202104,202605,0,false,,,,
O5Y9D,SPAMEDICA OXFORD,Other provider,,,,202207,202605,0,false,,,,
G5X2Q,SPAMEDICA NORTH TYNESIDE,Other provider,,,,202309,202605,0,false,,,,
J2H6H,SPAMEDICA COLCHESTER,Other provider,,,,202402,202605,0,false,,,,
G6S7A,SPAMEDICA TAUNTON,Other provider,,,,202408,202605,0,false,,,,
I1H7K,SPAMEDICA SALE,Other provider,,,,202410,202605,0,false,,,,
NNH,OPTEGRA UK,Other provider,,,,202412,202602,0,false,,,,
NQX,PROVIDE ENTERPRISES,Other provider,,,,202504,202605,0,false,,,,
H3W7Q,ACES CHELMSFORD,Other provider,,,,202511,202605,0,false,,,,
W7J4C,ACES MANCHESTER,Other provider,,,,202511,202605,0,false,,,,
P1G3N,ACES LEEDS WHITE ROSE,Other provider,,,,202601,202605,0,false,,,,
D0Y2J,OPTEGRA AT HAVANT HEALTH CENTRE (HAVANT),Other provider,,,,202603,202605,0,false,,,,
E4K5T,OPTEGRA EYE HOSPITAL NEWCASTLE,Other provider,,,,202603,202605,0,false,,,,
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,Other provider,,,,202104,202605,0,false,,,,
NDL01,SUFFOLK GP FEDERATION,Other provider,,,,202104,202603,0,false,,,,
NPG08,SPAMEDICA BOLTON,Other provider,,,,202104,202605,0,false,,,,
NPG12,SPAMEDICA ECCLESHILL TREATMENT CENTRE,Other provider,,,,202104,202306,0,false,,,,
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT30A,SPIRE NOTTINGHAM HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT315,SPIRE BUSHEY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT403,BEARDWOOD HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT430,RIDGEWAY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,Other provider,,,,202104,202605,0,false,,,,
NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC04,DUCHY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC09,NEW HALL HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC0R,TEES VALLEY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NX5,ANGLIA COMMUNITY EYE SERVICE LTD,Other provider,,,,202104,202510,0,false,,,,
NXM01,THE HORDER CENTRE - ST JOHNS ROAD,Other provider,,,,202104,202605,0,false,,,,
NXP,INDEPENDENT HEALTH GROUP,Other provider,,,,202104,202605,0,false,,,,
NYW17,ASPEN HEALTHCARE - MIDLAND EYE,Other provider,,,,202104,202501,0,false,,,,
M0N7E,SPAMEDICA SITTINGBOURNE,Other provider,,,,202107,202605,0,false,,,,
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,Other provider,,,,202204,202605,0,false,,,,
DFY01,COTSWOLDS SURGICAL PARTNERS,Other provider,,,,202304,202605,0,false,,,,
AY1,MEDEFER,Other provider,,,,202311,202605,0,false,,,,
NRL,HEART NETWORKS,Other provider,,,,202410,202605,0,false,,,,
C9A7J,NEWMEDICA - BRADFORD & HUDDERSFIELD,Other provider,,,,202411,202605,0,false,,,,
AVQ01,ONE ASHFORD HOSPITAL,Other provider,,,,202511,202605,0,false,,,,
G3E7R,OPTEGRA EYE HOSPITAL MAIDSTONE,Other provider,,,,202603,202605,0,false,,,,
NNH03,OPTEGRA (SURREY EYE HOSPITAL),Other provider,,,,202603,202605,0,false,,,,
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,Other provider,,,,202104,202605,0,false,,,,
AJX,SUSSEX MSK PARTNERSHIP 2,Other provider,,,,202104,202411,0,false,,,,
NCN,DMC HEALTHCARE,Other provider,,,,202104,202605,0,false,,,,
NPG16,SPAMEDICA CHELMSFORD,Other provider,,,,202104,202605,0,false,,,,
NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT314,SPIRE LONDON EAST,Other provider,,,,202104,202605,0,false,,,,
NT339,SPIRE REGENCY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT406,BLACKHEATH HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT436,SHIRLEY OAKS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT440,THORNBURY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT449,LANCASTER PRIVATE HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NV1,INHEALTH LIMITED,Other provider,,,,202104,202605,0,false,,,,
P0C3F,SPAMEDICA LEEDS,Other provider,,,,202207,202605,0,false,,,,
DFY02,COTSWOLDS SURGICAL PARTNERS (MELKSHAM),Other provider,,,,202304,202307,0,false,,,,
V5F1D,SPAMEDICA TELFORD,Other provider,,,,202307,202605,0,false,,,,
Z5J5V,SPAMEDICA HAYDOCK,Other provider,,,,202402,202605,0,false,,,,
V8N5R,SPAMEDICA DALSTON,Other provider,,,,202403,202605,0,false,,,,
DJH01,THE ROYAL BUCKINGHAMSHIRE HOSPITAL LTD,Other provider,,,,202409,202605,0,false,,,,
K9J3O,SPAMEDICA LUTON,Other provider,,,,202409,202605,0,false,,,,
V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,Other provider,,,,202507,202605,0,false,,,,
NP9,BESPOKE HEALTHCARE LTD,Other provider,,,,202509,202605,0,false,,,,
S0L9O,ACES BIRMINGHAM,Other provider,,,,202511,202605,0,false,,,,
Q4W9A,ACES SOUTHAMPTON,Other provider,,,,202512,202605,0,false,,,,
Q6V1S,OPTEGRA EYE HOSPITAL SHEFFIELD,Other provider,,,,202603,202605,0,false,,,,
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,NHS Trust,WR5 1JR,Midlands,true,202104,202605,0,false,,,,
RPG,OXLEAS NHS FOUNDATION TRUST,NHS Trust,DA2 7WG,South East,true,202104,202605,0,false,,,,
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,NHS Trust,PR5 6AW,North West,true,202104,202605,0,false,,,,
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,NHS Trust,SS11 7XX,East of England,true,202302,202412,0,false,,,,
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",NHS Trust,NE3 3XT,North East and Yorkshire,true,202104,202605,0,false,,,,
RKL,WEST LONDON NHS TRUST,NHS Trust,UB2 4SD,London,true,202104,202405,0,false,,,,
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,NHS Trust,ST16 3SR,Midlands,true,202104,202605,0,false,,,,
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,NHS Trust,NW1 3AX,London,true,202104,202502,0,false,,,,
DFY,COTSWOLDS SURGICAL PARTNERS LLP,Other provider,,,,202104,202303,0,false,,,,
NPG17,SPAMEDICA PRESTON,Other provider,,,,202104,202605,0,false,,,,
NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT321,SPIRE LITTLE ASTON HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT333,SPIRE WASHINGTON HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT347,SPIRE FYLDE COAST HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT409,CHELSFIELD PARK HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT417,GORING HALL HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT428,PRINCESS MARGARET HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT429,PRIORY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NTPH3,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,Other provider,,,,202104,202605,0,false,,,,
NVC06,FITZWILLIAM HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC14,PARK HILL HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC17,ROWLEY HALL HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC27,BOSTON WEST HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
Y8L9S,SPAMEDICA BROMLEY,Other provider,,,,202104,202605,0,false,,,,
M5E1S,SPAMEDICA EXETER,Other provider,,,,202106,202605,0,false,,,,
N6Z0R,NEWMEDICA - LINCOLN,Other provider,,,,202111,202605,0,false,,,,
P5Y6K,NEWMEDICA - SHREWSBURY,Other provider,,,,202111,202605,0,false,,,,
A4M8P,BUCKSHAW HOSPITAL,Other provider,,,,202201,202605,0,false,,,,
NL3,CARE PLUS GROUP,Other provider,,,,202301,202605,0,false,,,,
V4U1Y,SPAMEDICA CHESTER,Other provider,,,,202303,202605,0,false,,,,
DXV,OMNES HEALTHCARE LTD,Other provider,,,,202309,202605,0,false,,,,
Q2Y5H,OVIVA UK LTD,Other provider,,,,202504,202605,0,false,,,,
NX501,ANGLIA COMMUNITY EYE SERVICE LTD,Other provider,,,,202511,202605,0,false,,,,
U1P4Z,ACES MILTON KEYNES,Other provider,,,,202511,202605,0,false,,,,
R6X7C,SPAMEDICA MACCLESFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,Other provider,,,,202512,202605,0,false,,,,
X0R3Y,ACES LEEDS KING STREET,Other provider,,,,202601,202605,0,false,,,,
A1S9E,OPTEGRA EYE HOSPITAL YORK,Other provider,,,,202603,202605,0,false,,,,
A6U7U,OPTEGRA EYE HOSPITAL NOTTINGHAM,Other provider,,,,202603,202605,0,false,,,,
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,Other provider,,,,202104,202605,0,false,,,,
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Other provider,,,,202104,202605,0,false,,,,
AJ8,THE GRANGE MEDICAL CENTRE HQ,Other provider,,,,202104,202605,0,false,,,,
AP201,EAST SUSSEX OUTPATIENT SERVICES (ESOPS),Other provider,,,,202104,202201,0,false,,,,
NPG14,SPAMEDICA WIDNES,Other provider,,,,202104,202605,0,false,,,,
NPG21,SPAMEDICA COVENTRY,Other provider,,,,202104,202605,0,false,,,,
NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT309,SPIRE SUSSEX HOSPITAL,Other provider,,,,202104,202203,0,false,,,,
NT404,BEAUMONT HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT424,MERIDEN HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT441,THREE SHIRES HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,Other provider,,,,202104,202605,0,false,,,,
NVC44,THE WESTBOURNE CENTRE,Other provider,,,,202104,202605,0,false,,,,
R1G7E,SPAMEDICA KENDAL,Other provider,,,,202106,202605,0,false,,,,
Z9Z1G,SPAMEDICA GATESHEAD,Other provider,,,,202109,202605,0,false,,,,
M4C5R,NEWMEDICA - NORTHAMPTON,Other provider,,,,202204,202605,0,false,,,,
S1Z4X,NEWMEDICA - BIRMINGHAM,Other provider,,,,202301,202605,0,false,,,,
F9Z4V,CIRCLE READING HOSPITAL,Other provider,,,,202306,202605,0,false,,,,
DLG,MAYFLOWER HEALTHCARE ALLIANCE,Other provider,,,,202308,202401,0,false,,,,
F0R0W,NEWMEDICA - DARLINGTON,Other provider,,,,202407,202605,0,false,,,,
Z2L9B,NEWMEDICA - MANCHESTER WEST,Other provider,,,,202409,202605,0,false,,,,
S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,Other provider,,,,202501,202603,0,false,,,,
O1B1P,ACES PLYMOUTH,Other provider,,,,202601,202603,0,false,,,,
ACG40,NEWMEDICA - WAKEFIELD,Other provider,,,,202104,202605,0,false,,,,
ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,Other provider,,,,202104,202507,0,false,,,,
I9A4A,SPAMEDICA BRIGHTON,Other provider,,,,202104,202605,0,false,,,,
NLF06,OLDHAM INTEGRATED CARE CENTRE,Other provider,,,,202104,202401,0,false,,,,
NN5,MANCHESTER SURGICAL SERVICES LTD,Other provider,,,,202104,202605,0,false,,,,
NPG11,SPAMEDICA BIRMINGHAM,Other provider,,,,202104,202605,0,false,,,,
NQV,BROMLEY HEALTHCARE,Other provider,,,,202104,202401,0,false,,,,
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT304,SPIRE SOUTHAMPTON HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT350,SPIRE METHLEY PARK HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT416,HENDON HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT435,SHELBURNE HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT446,ST EDMUNDS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NV323,CIRCLE READING HOSPITAL,Other provider,,,,202104,202305,0,false,,,,
NVC19,RIVERS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC31,BLAKELANDS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
Q1W6P,SPAMEDICA WATFORD,Other provider,,,,202104,202605,0,false,,,,
B4N1U,SPAMEDICA ROMFORD,Other provider,,,,202106,202605,0,false,,,,
B5M7B,NEWMEDICA - NORWICH,Other provider,,,,202111,202605,0,false,,,,
NYR,CORA HEALTH DIAGNOSTICS (FORMERLY HEALTHSHARE DIAGNOSTICS),Other provider,,,,202402,202605,0,false,,,,
O6X7Z,SPAMEDICA CAMBRIDGE,Other provider,,,,202502,202605,0,false,,,,
J0M7P,SPAMEDICA HEREFORD DIAGNOSTIC AND TREATMENT CENTRE,Other provider,,,,202504,202605,0,false,,,,
Y9S1N,FAIRFIELD INDEPENDENT HOSPITAL,Other provider,,,,202504,202605,0,false,,,,
I7G8X,ACES NEWCASTLE,Other provider,,,,202511,202605,0,false,,,,
X7Y2H,ACES WILMSLOW,Other provider,,,,202511,202605,0,false,,,,
NX505,ANGLIA COMMUNITY EYE SERVICE - FAKENHAM MEDICAL PRACTICE,Other provider,,,,202605,202605,0,false,,,,
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,Other provider,,,,202104,202605,0,false,,,,
ACG41,NEWMEDICA - FROME,Other provider,,,,202104,202309,0,false,,,,
NEY,PIONEER HEALTHCARE LIMITED,Other provider,,,,202104,202605,0,false,,,,
NN4,TYNESIDE SURGICAL SERVICES LTD,Other provider,,,,202104,202605,0,false,,,,
NPG22,SPAMEDICA STOCKTON-ON-TEES,Other provider,,,,202104,202605,0,false,,,,
NQTF7,VCL WILTSHIRE CHILDRENS SERVICES,Other provider,,,,202104,202401,0,false,,,,
NRP,BEACON MEDICAL SERVICES GROUP LIMITED,Other provider,,,,202104,202605,0,false,,,,
NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT313,SPIRE WELLESLEY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT423,MANOR HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC0M,WEST VALLEY HOSPITAL,Other provider,,,,202104,202401,0,false,,,,
NVC18,SPRINGFIELD HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC1H,STOURSIDE HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NVC21,WEST MIDLANDS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
GEC,RAPID INVESTIGATION SERVICE,Other provider,,,,202108,202109,0,false,,,,
NNH05,OPTEGRA (BIRMINGHAM EYE HOSPITAL),Other provider,,,,202109,202605,0,false,,,,
E3D4A,SPAMEDICA TRURO,Other provider,,,,202207,202605,0,false,,,,
T8V3L,SPAMEDICA DONCASTER,Other provider,,,,202207,202605,0,false,,,,
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,Other provider,,,,202209,202605,0,false,,,,
R0F4N,NUFFIELD HEALTH PARKSIDE HOSPITAL,Other provider,,,,202209,202605,0,false,,,,
D5P5H,SPAMEDICA BEXHILL,Other provider,,,,202210,202605,0,false,,,,
J3J8Z,NEWMEDICA - OXFORDSHIRE,Other provider,,,,202309,202605,0,false,,,,
A1U4J,SPAMEDICA PORTSMOUTH,Other provider,,,,202408,202605,0,false,,,,
Q8X0X,SPAMEDICA ISLE OF WIGHT COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,Other provider,,,,202501,202605,0,false,,,,
Z4F8Y,ACES DARTFORD,Other provider,,,,202511,202605,0,false,,,,
F2C9F,ACES HARLEY STREET,Other provider,,,,202601,202604,0,false,,,,
AAV02,COMMUNITY HEALTH AND EYECARE LIMITED (PRESTON),Other provider,,,,202104,202203,0,false,,,,
DX1,THE NEW FOSCOTE HOSPITAL LTD,Other provider,,,,202104,202605,0,false,,,,
NPG02,SPAMEDICA WIRRAL,Other provider,,,,202104,202605,0,false,,,,
NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT245,"NUFFIELD HEALTH, YORK HOSPITAL",Other provider,,,,202104,202605,0,false,,,,
NT316,SPIRE HARPENDEN HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT343,SPIRE THAMES VALLEY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT401,ALEXANDRA HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT418,HAMPSHIRE CLINIC,Other provider,,,,202104,202605,0,false,,,,
NT421,KINGS OAK HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT443,WINTERBOURNE HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT447,DUCHY HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT450,LINCOLN PRIVATE HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT457,WOODLANDS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
NT497,BMI GISBURNE PARK HOSPITAL,Other provider,,,,202104,202106,0,false,,,,
NTPH5,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,Other provider,,,,202104,202605,0,false,,,,
NVC13,OAKS HOSPITAL,Other provider,,,,202104,202605,0,false,,,,
R7W2O,NEWCASTLE NEWMEDICA LTD,Other provider,,,,202206,202605,0,false,,,,
O1P6X,SPAMEDICA OLDHAM,Other provider,,,,202207,202605,0,false,,,,
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,Other provider,,,,202209,202605,0,false,,,,
C3Y0A,SPAMEDICA BLACKPOOL,Other provider,,,,202307,202605,0,false,,,,
N8R1N,NEWMEDICA - BERKSHIRE,Other provider,,,,202407,202605,0,false,,,,
N1N0Y,SPAMEDICA CROYDON,Other provider,,,,202505,202605,0,false,,,,
NHW,STANDARD HEALTH LTD,Other provider,,,,202510,202605,0,false,,,,
A4Y8X,ACES NOTTINGHAM,Other provider,,,,202511,202605,0,false,,,,
F7B2B,ANGLIA COMMUNITY EYE SERVICE - BURY ST EDMUNDS,Other provider,,,,202511,202605,0,false,,,,
NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,Other provider,,,,202511,202605,0,false,,,,
Y7W8F,ACES SOUTHAMPTON - EAST ST,Other provider,,,,202511,202605,0,false,,,,
A5E1F,OPTEGRA EYE HOSPITAL PRESTON,Other provider,,,,202603,202605,0,false,,,,
D9E5L,OPTEGRA EYE HOSPITAL BRIGHTON,Other provider,,,,202603,202605,0,false,,,,
DXN,MODALITY LLP,Other provider,,,,202603,202605,0,false,,,,
NNH04,OPTEGRA (MANCHESTER EYE HOSPITAL),Other provider,,,,202603,202605,0,false,,,,
