winter,horizon,model,mae,median_ae,n,naive_mae,pct_beat_naive,skill_vs_naive,metric
2024-25,1,cluster_pooled,0.029503468375253705,0.0209717525448834,360,0.05071072789032443,0.6972222222222222,0.41820065294541064,breach_rate
2024-25,1,ets,0.032714220222457985,0.025561814639436548,360,0.05071072789032443,0.6583333333333333,0.3548856113205223,breach_rate
2024-25,1,seasonal_naive,0.05071072789032443,0.04253442518988951,360,0.05071072789032443,0.0,0.0,breach_rate
2024-25,2,cluster_pooled,0.04059992118767196,0.02839947142217887,360,0.05071072789032443,0.5861111111111111,0.19938200698912878,breach_rate
2024-25,2,ets,0.04415456348427574,0.031569410489950364,360,0.05071072789032443,0.5444444444444444,0.12928555118017937,breach_rate
2024-25,2,seasonal_naive,0.05071072789032443,0.04253442518988951,360,0.05071072789032443,0.0,0.0,breach_rate
2025-26,1,cluster_pooled,0.03435593996047083,0.027758172609349804,360,0.05087822846453646,0.6222222222222222,0.32474181988435635,breach_rate
2025-26,1,ets,0.03810326507047124,0.02931883313054967,360,0.05087822846453646,0.5861111111111111,0.2510889977816293,breach_rate
2025-26,1,seasonal_naive,0.05087822846453646,0.03869870871147521,360,0.05087822846453646,0.0,0.0,breach_rate
2025-26,2,cluster_pooled,0.04147446845254793,0.035486199860407464,360,0.05028083779754346,0.5305555555555556,0.17514364777401892,breach_rate
2025-26,2,ets,0.04758346244435432,0.03760493631479184,360,0.05028083779754346,0.5,0.053646189509613196,breach_rate
2025-26,2,seasonal_naive,0.05028083779754346,0.03647199893634703,360,0.05028083779754346,0.0,0.0,breach_rate
2024-25,1,cluster_pooled,12.023131069695534,8.453423071481097,360,24.049719595847243,0.6888888888888889,0.5000718814296856,att_per_day
2024-25,1,ets,11.964148665388358,8.820202335784131,360,24.049719595847243,0.7166666666666667,0.5025244008477232,att_per_day
2024-25,1,seasonal_naive,24.049719595847243,14.838709677419189,360,24.049719595847243,0.0,0.0,att_per_day
2024-25,2,cluster_pooled,16.026148461616202,11.242967646899785,360,24.049719595847243,0.6194444444444445,0.3336243111797653,att_per_day
2024-25,2,ets,15.446573857245808,10.676633700045272,360,24.049719595847243,0.6583333333333333,0.35772332830387654,att_per_day
2024-25,2,seasonal_naive,24.049719595847243,14.838709677419189,360,24.049719595847243,0.0,0.0,att_per_day
2025-26,1,cluster_pooled,15.336781435313057,11.996444076091052,360,21.684174283476878,0.6166666666666667,0.2927200623452132,att_per_day
2025-26,1,ets,14.041109462604235,9.896194826567495,360,21.684174283476878,0.6277777777777778,0.352472025033325,att_per_day
2025-26,1,seasonal_naive,21.684174283476878,15.403225806451616,360,21.684174283476878,0.0,0.0,att_per_day
2025-26,2,cluster_pooled,14.568997296274198,10.387758912566397,360,22.507440476190496,0.6555555555555556,0.352703062274628,att_per_day
2025-26,2,ets,14.610993438311503,10.326400291800553,360,22.507440476190496,0.6694444444444444,0.35083718409617703,att_per_day
2025-26,2,seasonal_naive,22.507440476190496,16.22580645161284,360,22.507440476190496,0.0,0.0,att_per_day
