org_code,month_key,month_start,fy,month_name,days_in_month,is_winter,winter_label,is_summer,methodology_break,att_type1,att_type2,att_other,att_all,over4hr_type1,over4hr_all,dta_4to12hr,dta_12hr_plus,emadm_via_ae,type1_performance,alltype_performance,att_type1_per_day,type1_meets_95,type1_meets_interim
RAX,202604,2026-04-01,2026-27,April,30,false,,false,true,7049.0,0.0,8138.0,15187.0,2985.0,3177.0,301.0,383.0,3221.0,0.5765356788196907,0.7908079278330151,234.96666666666667,false,false
RK5,202604,2026-04-01,2026-27,April,30,false,,false,true,11236.0,0.0,5497.0,16733.0,4394.0,5006.0,662.0,280.0,3532.0,0.608935564257743,0.7008306938385227,374.53333333333336,false,false
NTP11,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,5698.0,5698.0,0.0,137.0,0.0,0.0,0.0,,0.9759564759564759,0.0,,
NNF16,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,1613.0,1613.0,0.0,32.0,0.0,0.0,0.0,,0.9801611903285803,0.0,,
NNFA7,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,1752.0,1752.0,0.0,33.0,0.0,0.0,0.0,,0.9811643835616438,0.0,,
NVE43,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,1129.0,1129.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
R1D,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,3573.0,3573.0,0.0,5.0,0.0,0.0,0.0,,0.9986006157290792,0.0,,
RXG,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
RP6,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,6494.0,0.0,6494.0,0.0,261.0,0.0,0.0,1.0,,0.959809054511857,0.0,,
RJ6,202605,2026-05-01,2026-27,May,31,false,,false,true,13509.0,0.0,5147.0,18656.0,5115.0,5115.0,227.0,676.0,1057.0,0.6213635354208306,0.7258254716981132,435.7741935483871,false,false
RTG,202605,2026-05-01,2026-27,May,31,false,,false,true,21684.0,0.0,9770.0,31454.0,9804.0,9818.0,1057.0,538.0,4141.0,0.5478693967902601,0.6878616392191772,699.483870967742,false,false
RWG,202605,2026-05-01,2026-27,May,31,false,,false,true,8572.0,0.0,8231.0,16803.0,2217.0,2317.0,747.0,30.0,4844.0,0.7413672421838544,0.8621079569124561,276.51612903225805,false,false
AD913,202605,2026-05-01,2026-27,May,31,false,,false,true,0.0,0.0,3854.0,3854.0,0.0,7.0,0.0,0.0,0.0,,0.9981837052413077,0.0,,
AQN04,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,3396.0,3396.0,0.0,81.0,0.0,0.0,0.0,,0.976148409893993,0.0,,
AAH,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,744.0,744.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
RCX,202606,2026-06-01,2026-27,June,30,false,,true,true,6692.0,0.0,1212.0,7904.0,3055.0,3055.0,749.0,149.0,1886.0,0.5434847579199044,0.6134868421052632,223.06666666666666,false,false
