org_code,month_key,type1_performance,prev_month,mom_change,yoy_change,rolling_3m,national_rank
RYJ,202110,1.0,1.0,0.0,,1.0,1
RC9,202110,1.0,1.0,0.0,,1.0,1
RNQ,202110,1.0,1.0,0.0,,1.0,1
R0D,202110,1.0,1.0,0.0,,1.0,1
RGR,202110,1.0,1.0,0.0,,1.0,1
RXF,202110,1.0,1.0,0.0,,1.0,1
RK9,202110,1.0,1.0,0.0,,1.0,1
RGT,202110,1.0,1.0,0.0,,1.0,1
RX1,202110,1.0,1.0,0.0,,1.0,1
RDU,202110,1.0,1.0,0.0,,1.0,1
RQM,202110,1.0,1.0,0.0,,1.0,1
RHU,202110,1.0,1.0,0.0,,1.0,1
RVW,202110,1.0,1.0,0.0,,1.0,1
RFR,202110,1.0,1.0,0.0,,1.0,1
RCU,202110,0.9263195820572869,0.9133346864217576,0.012984895635529292,,0.9348149597695331,15
RQX,202110,0.8561339009287926,0.8606203376521397,-0.0044864367233471425,,0.8703379116510349,16
RRV,202110,0.8234107776702162,0.8425270696564072,-0.019116291986191025,,0.8405809144896855,17
RTP,202110,0.8197191455696202,0.8115255575291099,0.008193588040510291,,0.8236885618711005,18
RTF,202110,0.8147612156295224,0.82308398347866,-0.008322767849137547,,0.83156667927262,19
RLT,202110,0.8005794302269436,0.7905975831815925,0.0099818470453511,,0.8025988107534715,20
RVR,202110,0.7800211736237145,0.8151740732385894,-0.03515289961487489,,0.8119935899560219,21
RJ1,202110,0.7733478576615831,0.7331574045327538,0.040190453128829295,,0.7516599849948582,22
RFS,202110,0.7732151985005964,0.7785246771625686,-0.005309478661972178,,0.7846536409094034,23
RK5,202110,0.7706191205425509,0.7845332775219758,-0.013914156979424885,,0.7950835069771403,24
RWF,202110,0.7700488997555013,0.7986585517327041,-0.028609651977202777,,0.788273808077951,25
RWY,202110,0.7596750759476951,0.7828987265009096,-0.023223650553214514,,0.7794291043430599,26
RKE,202110,0.7561492790500424,0.7742318059299191,-0.01808252687987677,,0.7764577049948832,27
RAJ,202110,0.7552248677248677,0.7402326965029418,0.014992171221925976,,0.7643880166051309,28
RAE,202110,0.7509817312617381,0.7578296591556171,-0.006847927893879002,,0.7687093174207397,29
RN7,202110,0.7407728296655692,0.7780371733860105,-0.037264343720441295,,0.776781961669999,30
RCD,202110,0.7266949152542372,0.8112878622793637,-0.08459294702512643,,0.770328312453605,31
RTD,202110,0.7263041880969875,0.733894905736061,-0.007590717639073485,,0.7433898568084012,32
RBS,202110,0.7245866503368035,0.7341793570219965,-0.009592706685193075,,0.7799626353188089,33
RNZ,202110,0.7086033519553072,0.7003428571428572,0.008260494812450059,,0.7077659846520111,34
RAX,202110,0.7080123266563945,0.6553391155978956,0.05267321105849887,,0.6822696863517953,35
RBK,202110,0.7046856542853392,0.6758582655452916,0.028827388740047644,,0.6866616192041387,36
RJ6,202110,0.7015987210231814,0.6917410166161906,0.009857704406990853,,0.7054937808113588,37
RL4,202110,0.6977230309817095,0.7050793166564979,-0.00735628567478841,,0.7089265341387612,38
RJ7,202110,0.6974377612211521,0.7279505364611747,-0.030512775240022605,,0.7371412977410351,39
RD8,202110,0.6967572304995617,0.7172964210001247,-0.020539190500562965,,0.7124150105648862,40
RTK,202110,0.6811854937979358,0.7248899942605701,-0.0437045004626343,,0.7085007141754437,41
RN5,202110,0.6765212894328564,0.7151758279276204,-0.03865453849476397,,0.7154180188470433,42
RNA,202110,0.6757601897778736,0.6675115715230329,0.00824861825484069,,0.6777488613049257,43
RH5,202110,0.6750287876295443,0.7189732513706596,-0.04394446374111527,,0.7069432200460469,44
RQ3,202110,0.6665095080936665,0.726083840917234,-0.0595743328235675,,0.747679264485115,45
RNN,202110,0.6655196962505933,0.6993593476994758,-0.03383965144888257,,0.6865980993957858,46
RHM,202110,0.6639964396973743,0.7370327993897787,-0.0730363596924044,,0.7212525875916617,47
RFF,202110,0.6637982550495996,0.6697541859636622,-0.005955930914062657,,0.65291416896759,48
RTX,202110,0.6622706422018348,0.7303750291171676,-0.06810438691533272,,0.6996050227738141,49
R0B,202110,0.6586641312098882,0.7056353948005814,-0.046971263590693146,,0.6944084524041719,50
RDE,202110,0.6559308184665669,0.6976283234228693,-0.04169750495630242,,0.6803488085714872,51
RCF,202110,0.6543686064061713,0.698605648909546,-0.04423704250337468,,0.6878367439402856,52
RR7,202110,0.6534508076358296,0.7519614835948645,-0.09851067595903484,,0.7133598996832843,53
RH8,202110,0.6457839208309479,0.6694154741692941,-0.023631553338346212,,0.6623474030447646,54
RTH,202110,0.6387017255546426,0.6786521935775667,-0.039950468022924124,,0.6829213918474886,55
RJ2,202110,0.6339888043634276,0.5871539148556117,0.04683488950781589,,0.6376608389971251,56
R1F,202110,0.6328959414098261,0.6650514839491217,-0.032155542539295645,,0.663963765124573,57
RLQ,202110,0.6297650130548302,0.6631333093783687,-0.03336829632353844,,0.6321459408414744,58
RXQ,202110,0.6292565947242206,0.6071677914824296,0.022088803241790966,,0.6200753322806521,59
R1K,202110,0.6272963745732401,0.6638965835641736,-0.036600208990933525,,0.6697261469025122,60
R1H,202110,0.6248879106546017,0.6616404798107789,-0.036752569156177195,,0.6537555172586389,61
RVV,202110,0.6248019914007694,0.6624330789383757,-0.037631087537606245,,0.6516550811795935,62
RWJ,202110,0.6237295166977805,0.6887111657951399,-0.06498164909735937,,0.6924080504623943,63
RJN,202110,0.6221709006928406,0.5590587160155358,0.06311218467730484,,0.5874787966339313,64
RMC,202110,0.6193704600484262,0.6865121691069525,-0.06714170905852623,,0.6753675991323828,65
RCX,202110,0.6185329298169765,0.6435580880025324,-0.02502515818555595,,0.6484363114749279,66
RTE,202110,0.6183096341268572,0.5977606177606178,0.020549016366239403,,0.6276766100316188,67
RGP,202110,0.6155888784754764,0.6228495809439789,-0.007260702468502522,,0.6073324569817712,68
RNS,202110,0.6150062787777313,0.6604686156491831,-0.04546233687145185,,0.6379498707532906,69
RP5,202110,0.6124462836224733,0.6300327269959662,-0.01758644337349291,,0.6274803121775381,70
RA2,202110,0.6118971061093248,0.6855444305381727,-0.07364732442884792,,0.6801894666157442,71
RPA,202110,0.611526268115942,0.6501396648044693,-0.03861339668852726,,0.6553662682536262,72
RWW,202110,0.6096049573973663,0.6453790238836967,-0.035774066486330414,,0.631901947932187,73
RTR,202110,0.5983866320944973,0.6383545427641314,-0.03996791066963412,,0.6349483552098656,74
RQW,202110,0.5979865771812081,0.6177691936262675,-0.01978261644505941,,0.6327867878155568,75
