org_code,org_name,icb_code,icb_name,region_name,month_key,att_type1,type1_performance,alltype_performance,dta_12hr_plus,type1_meets_95,type1_meets_interim,momentum_3m_pp,rag
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,202606,10864.0,0.7954712812960236,0.9123367656921924,0.0,false,true,0.018365449762546282,GREEN
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England,202606,8710.0,0.5308840413318026,0.6934028032582373,0.0,false,false,-0.033799248310336094,RED
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,QMJ,NHS North Central London Integrated Care Board,London,202606,26821.0,0.7038887438947093,0.8028760813391753,1778.0,false,false,-0.002200824131280865,AMBER
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,QNQ,NHS Frimley Integrated Care Board,South East,202606,22940.0,0.6189625108979948,0.7436787166870502,611.0,false,false,-0.016597777149778947,RED
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,202606,5083.0,0.513279559315365,0.8496704359920179,5.0,false,false,-0.0021843582104081882,RED
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,202606,5867.0,0.5979205726947332,0.7767832167832168,5.0,false,false,0.03216660268544402,RED
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,202606,16902.0,0.8686545970891019,0.8686545970891019,11.0,false,true,0.021021366241036232,GREEN
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,QRV,NHS North West London Integrated Care Board,London,202606,5581.0,0.5554560114674789,0.8007846214201648,48.0,false,false,-0.021536484020314384,RED
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,202606,9111.0,0.5361650751838437,0.7343678424186899,18.0,false,false,0.027677990312995004,RED
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,QOQ,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,202606,10862.0,0.4998158718468054,0.6846923207323274,729.0,false,false,-0.023413576242735323,RED
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England,202606,18544.0,0.6255392579810182,0.7428338641582105,70.0,false,false,-0.03528548428702305,RED
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,QMJ,NHS North Central London Integrated Care Board,London,202606,13518.0,0.7529960053262317,0.7529960053262317,153.0,false,false,-0.024563384615748585,AMBER
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England,202606,9108.0,0.5296442687747036,0.756454677545546,170.0,false,false,0.037532990411543676,RED
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,202606,13012.0,0.5418075622502305,0.6529483671925025,31.0,false,false,-0.054356984649610474,RED
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,QJG,NHS Suffolk And North East Essex Integrated Care Board,East of England,202606,8225.0,0.71161094224924,0.7425935973955508,348.0,false,false,0.0028684802153310374,AMBER
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,QUA,NHS Black Country Integrated Care Board,Midlands,202606,10646.0,0.6908698102573736,0.7641745414118954,175.0,false,false,-0.04818032825369478,RED
RMC,BOLTON NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,North West,202606,8797.0,0.5452995339320224,0.6652305728418701,455.0,false,false,-0.0201228748781751,RED
RPA,MEDWAY NHS FOUNDATION TRUST,QKS,NHS Kent And Medway Integrated Care Board,South East,202606,9521.0,0.6397437243986976,0.7262338314705513,822.0,false,false,-0.02562717718571028,RED
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,202606,11607.0,0.6459894891014043,0.6750454509524939,22.0,false,false,-0.04228136942338401,RED
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,202606,11703.0,0.6000170896351362,0.7138433515482696,1112.0,false,false,-0.036444438022346315,RED
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,202606,10028.0,0.49920223374551254,0.6329378454900904,15.0,false,false,0.010888920432199245,RED
RA7,BRISTOL NHS FOUNDATION TRUST,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",South West,202606,25969.0,0.6282875736455005,0.6564864107593164,1052.0,false,false,-0.02184052795851099,RED
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,QE1,NHS Lancashire And South Cumbria Integrated Care Board,North West,202606,12850.0,0.674863813229572,0.7293461419274868,336.0,false,false,0.0375100834683848,RED
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",South West,202606,7808.0,0.5416239754098361,0.6521317045546478,422.0,false,false,0.026062607952335615,RED
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,QPM,NHS Northamptonshire Integrated Care Board,Midlands,202606,11200.0,0.6442857142857144,0.7121396380284712,900.0,false,false,-0.0237558094885002,RED
RCF,AIREDALE NHS FOUNDATION TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,202606,6424.0,0.5451432129514322,0.5622471910112359,203.0,false,false,-0.04602621772047755,RED
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,QE1,NHS Lancashire And South Cumbria Integrated Care Board,North West,202606,8798.0,0.5431916344623778,0.7710500383225665,313.0,false,false,-0.03963830155904757,RED
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands,202606,8845.0,0.7608818541548897,0.7722868217054264,88.0,false,false,0.011000986868732965,AMBER
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,202606,7190.0,0.4621696801112657,0.6364138438880707,743.0,false,false,-0.01343536397177203,RED
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,QKK,NHS South East London Integrated Care Board,London,202606,15650.0,0.5572523961661342,0.711458690109221,702.0,false,false,-0.015974129827450834,RED
RNZ,SALISBURY NHS FOUNDATION TRUST,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",South West,202606,4816.0,0.5037375415282392,0.6697982868195634,219.0,false,false,-0.062319644734036284,RED
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,QJ2,NHS Derby And Derbyshire Integrated Care Board,Midlands,202606,7043.0,0.4836007383217379,0.7033239887865439,196.0,false,false,-0.03144555797455839,RED
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,202606,10194.0,0.6758877771237983,0.6758877771237983,3.0,false,false,-0.02134814021596876,RED
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,East of England,202606,12015.0,0.5292550977944237,0.6737572772055531,445.0,false,false,-0.022322396472269634,RED
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,202606,14627.0,0.6347166199494086,0.7129823431546182,246.0,false,false,-0.02304288673096133,RED
