region,month_key,month_start,is_winter,winter_label,cat1_mean_sec,cat2_mean_sec,cat1_incidents,cat2_incidents
Y58,202402,2024-02-01,true,2023-24,586.0,2584.0,8990.0,36933.0
Y56,202403,2024-03-01,false,,431.0,1991.0,13252.0,55424.0
Y56,202404,2024-04-01,false,,436.0,2092.0,12629.0,52078.0
Y56,202405,2024-05-01,false,,435.0,2144.0,13365.0,55481.0
Y58,202405,2024-05-01,false,,580.0,2440.0,9242.0,41819.0
Y56,202406,2024-06-01,false,,447.0,2384.0,13485.0,54703.0
Y56,202407,2024-07-01,false,,445.0,2334.0,14031.0,56078.0
Y56,202507,2025-07-01,false,,417.0,1846.0,14321.0,60223.0
Y61,202507,2025-07-01,false,,517.0,1955.0,8471.0,43153.0
Y62,202510,2025-10-01,false,,425.0,1657.0,11079.0,48643.0
Y60,202511,2025-11-01,false,,520.3255708022548,2260.1529005590864,17563.0,83708.0
Y58,202512,2025-12-01,true,2025-26,534.0,1977.0,9420.0,45167.0
Y61,202601,2026-01-01,true,2025-26,554.0,2824.0,9039.0,46959.0
Y61,202602,2026-02-01,true,2025-26,525.0,2231.0,7658.0,41023.0
Y60,202603,2026-03-01,false,,501.63475654514315,1562.3835373259833,16348.0,85624.0
Y60,202604,2026-04-01,false,,495.8346724946969,1394.2483721490041,15557.0,83085.0
Y59,201708,2017-08-01,false,,,,,
Y60,201709,2017-09-01,false,,452.70544918998525,1190.3057963163596,9506.0,59072.0
Y62,201710,2017-10-01,false,,569.0,1559.0,7820.0,52620.0
Y59,201712,2017-12-01,true,2017-18,489.299678751721,1132.2910253374378,6537.0,54899.0
Y56,201802,2018-02-01,true,2017-18,448.0,1401.0,7770.0,48706.0
Y59,201805,2018-05-01,false,,441.7900204359673,985.2621331714228,5872.0,49410.0
Y61,201808,2018-08-01,false,,485.0,1495.0,6474.0,38705.0
Y58,201902,2019-02-01,true,2018-19,421.0,1803.0,3938.0,37741.0
Y61,201903,2019-03-01,false,,455.0,1513.0,7197.0,43269.0
Y62,201905,2019-05-01,false,,427.0,1250.0,9261.0,51509.0
Y62,201908,2019-08-01,false,,436.0,1336.0,9831.0,49467.0
Y59,201910,2019-10-01,false,,453.2250823106854,1191.616681570604,6682.0,61505.0
Y56,202004,2020-04-01,false,,431.0,1413.0,7827.0,52149.0
Y59,202006,2020-06-01,false,,410.2459370056091,916.6095741568807,6953.0,47858.0
Y59,202007,2020-07-01,false,,425.20905285191,1005.5483439082601,7644.0,51537.0
Y56,202007,2020-07-01,false,,359.0,670.0,7044.0,54226.0
Y58,202008,2020-08-01,false,,443.0,1457.0,6065.0,41124.0
Y62,202009,2020-09-01,false,,447.0,1936.0,8539.0,49551.0
Y61,202012,2020-12-01,true,2020-21,438.0,1596.0,6487.0,46733.0
Y56,202102,2021-02-01,true,2020-21,314.0,701.0,5827.0,51194.0
Y62,202104,2021-04-01,false,,449.0,1432.0,9469.0,50788.0
Y62,202105,2021-05-01,false,,471.0,1633.0,11427.0,55571.0
Y63,202106,2021-06-01,false,,486.1958350020024,1873.1283116797792,9988.0,60883.0
Y58,202108,2021-08-01,false,,596.0,3232.0,9549.0,44571.0
Y60,202110,2021-10-01,false,,527.1387600168705,3123.7163502256717,18968.0,93277.0
Y60,202111,2021-11-01,false,,523.3573041318582,2779.6730538249985,17716.0,89085.0
Y58,202202,2022-02-01,true,2021-22,699.0,5125.0,7472.0,34676.0
Y56,202206,2022-06-01,false,,453.0,3344.0,11730.0,52640.0
Y58,202211,2022-11-01,false,,611.0,3331.0,10833.0,36639.0
Y63,202301,2023-01-01,true,2022-23,484.7036598689002,1658.8901682905225,10984.0,54192.0
Y60,202301,2023-01-01,true,2022-23,509.0417298053386,2092.422281441413,17158.0,75426.0
Y59,202302,2023-02-01,true,2022-23,522.5423033389926,1628.2919540229884,7068.0,53940.0
Y56,202302,2023-02-01,true,2022-23,470.0,2020.0,10229.0,46302.0
Y61,202303,2023-03-01,false,,574.0,3239.0,8519.0,38939.0
Y60,202305,2023-05-01,false,,497.91467889908256,2018.606469517396,17440.0,78553.0
Y58,202305,2023-05-01,false,,564.0,2202.0,9883.0,39137.0
Y63,202307,2023-07-01,false,,489.18957106812445,1838.766401161083,11890.0,57877.0
Y60,202308,2023-08-01,false,,494.34956026260375,1855.273168804018,16146.0,78446.0
Y60,202312,2023-12-01,true,2023-24,526.5401911496602,3070.857889027755,18101.0,84814.0
Y60,202401,2024-01-01,true,2023-24,521.7166028899424,2801.662377079034,17509.0,82370.0
Y60,202402,2024-02-01,true,2023-24,517.7736134657303,2558.031527952221,16516.0,78026.0
Y61,202403,2024-03-01,false,,529.0,2346.0,8566.0,42558.0
Y58,202406,2024-06-01,false,,580.0,2594.0,8820.0,40427.0
Y61,202410,2024-10-01,false,,582.0,3092.0,8530.0,42099.0
Y59,202412,2024-12-01,true,2024-25,526.0217651757189,1961.7918354145572,10016.0,71112.0
