region_name,month_key,breach_rate,vacancy_pressure_index,nursing_pressure_index,breach_dm,nurse_dm
North West,202104,0.2511826904144871,1.0295246034895316,1.0800384259219191,0.012011368993200933,0.05290587671361768
London,202104,0.1611934790522783,1.060596636164381,1.1057855177047606,-0.00737728861981124,0.07496602608057468
North East and Yorkshire,202105,0.1905862851160356,1.4300404925465593,1.6024374972588635,-0.0025870288201473857,0.3401814632485731
East of England,202107,0.24335640434076733,1.4554692485245724,1.5108012275635267,-0.02667968760007533,0.0670996554480432
South West,202107,0.28810068265124256,1.3490630103257584,1.32216249988242,-0.0025766583026110568,-0.032833618770021555
South West,202110,0.32660442498550674,1.5555506216356298,1.531182437968556,-0.014026768698283565,0.15679131552611358
Midlands,202112,0.3802952857247922,1.106393932349559,1.0467285721415858,0.009318875861360654,-0.21744802690159348
Midlands,202206,0.40187048608293435,1.2172213218086831,1.120846395356852,0.007875441631259583,-0.24054703495510665
North East and Yorkshire,202210,0.3702443355704093,1.528037985220779,1.4803753975347222,-0.012584918363157949,0.026614454472198457
East of England,202305,0.3323886423185926,1.5809584339369,1.418146549642309,-0.0007701451703704953,0.09894205725321736
South East,202312,0.42568910200261273,0.927051077583447,0.9209944171555685,0.009902507137159788,0.09614764525683084
North West,202402,0.4717935114200069,1.3071893249401796,1.3922784667710975,-0.019601461143978982,0.3197754113657263
London,202402,0.4134761724123747,1.2021319428863497,1.137853170161904,-0.007318246402414574,0.06166317234064822
Midlands,202403,0.4166754577650516,1.1466901999375998,1.1362118507708872,-0.0076577292156977395,0.08740531161647569
North East and Yorkshire,202404,0.3837843295638126,1.2247162786155465,1.0627559687066284,0.000259197543176104,-0.021383887369619048
London,202405,0.40458112191777346,1.1409503843399131,1.1643083456575745,0.017508703773366496,0.20643537151285996
North West,202405,0.44824710712586396,1.2614319362483666,1.0099024639324257,-0.0094258647677396,0.05571643220359568
North East and Yorkshire,202406,0.3890168633986234,1.041619137096361,0.9915530772008792,0.006351230751211356,-0.06252955460464937
South West,202408,0.39289345219590477,0.8560602870571624,0.7209257078186428,0.008470779564738129,-0.15792474899986564
North West,202411,0.457421570078009,1.0763429245432659,0.9032376435563017,-0.027236278948470638,0.0595793275945673
London,202411,0.4145876370570475,1.0335922562908866,1.0047099098804149,0.000530341779764465,0.15736465150279588
North West,202505,0.4236318099536291,0.7681275115883458,0.7780452975845327,-0.020691020999384135,0.04883086553177307
London,202505,0.3801984252237189,0.7971199161806131,0.7969589728997085,0.006476148019902261,0.06405759843106451
South East,202509,0.36029926390732475,0.6854899871477846,0.6556895125954273,0.00749519905749968,-0.13404290252759954
South East,202601,0.4114981019327088,0.672443985650504,0.6296787667002481,0.020430052618108263,-0.029597184576459323
South West,202603,0.4269137606213234,1.0646548523103376,1.000087627970254,0.055620484374499124,0.21213639721219157
East of England,202110,0.29298687524857486,1.6948866269239353,1.5305905332452068,-0.027003069422204484,0.06749395733972241
East of England,202209,0.34709168961723486,1.2983911801567358,1.2475355831122557,-0.019186792378786566,-0.17805875603491939
South West,202209,0.3801812877300501,1.4345967656113265,1.4375937854441525,-0.006738443278982265,0.1007048997600195
South West,202305,0.3347837064467261,1.2193383460258422,1.1668283080920223,-0.019016330055247943,-0.06367073083402719
East of England,202408,0.36729865874467205,1.0731338334117775,0.9942690205555538,0.0035172351265163604,0.02671311027400325
East of England,202603,0.35078554044928073,0.870619899977031,0.841776494847514,0.0001335132154673957,-0.03488018937359039
London,202111,0.3051685036312775,1.0387753797419037,1.140837987455051,-0.010883713844833665,-0.2692642192859305
North West,202111,0.42446517571884984,1.2320877952733384,1.3032964940673493,0.03781240449354206,-0.10311877025774763
Midlands,202201,0.3730997790414149,1.357307431309976,1.2984463421184604,0.011759219141463217,-0.15067013058070833
South East,202202,0.2892072116571993,1.3717502043274707,1.197576132436088,-0.014728095261495822,-0.1091993638790918
South West,202205,0.3410098897747571,1.71618748521419,1.660238140148314,-0.017937076002893182,0.17482981510675133
South West,202207,0.37851056843124037,1.325114783819022,1.2101769243374558,-0.006649316663879634,-0.0952603189374932
East of England,202303,0.3583135327789178,1.4080968444242057,1.3982789221703318,-0.004345548412078126,-0.1081509613796916
Midlands,202308,0.4583897927064309,1.3384716557731293,1.3880128057345353,0.014765447752677074,0.12068510475234118
North West,202401,0.4753153208068555,1.3557176193301879,1.3634901814845906,-0.02612452289720507,0.2244290656421266
London,202401,0.4245324687944453,1.1196351725147242,1.3146972169661353,-0.006306821160418696,0.17194915870778682
South West,202407,0.4009939179368083,1.0413313621472555,0.9338072174752946,0.006033388947659313,-0.12423900050256931
Midlands,202410,0.43646970070435687,1.220749866323839,1.1695809140366349,-0.01712873092910211,0.14734611114160434
East of England,202412,0.4673259993742937,0.8587167371210144,0.8352235717260078,0.029886810013839027,0.0218753726648111
South West,202412,0.46567529195492857,0.6481823311393551,0.5523235521705746,0.007594853581462946,-0.17231919342758006
South West,202501,0.43658952671019374,0.892227621461837,0.8521399294916637,0.00196881042445185,-0.03887848337891864
South East,202506,0.35780676861760585,0.6808907188233194,0.7162362262546847,0.011239780102856145,-0.012920001508558654
Midlands,202507,0.3973764144330585,0.9414236303300094,0.930162638532712,-0.005651333835734296,0.06582931468797115
London,202510,0.37952917863368996,0.822080949308995,0.8419098111093242,-0.003751656191974262,0.11508736675035147
South West,202511,0.4218474337600958,0.8401907589551283,0.6540908152520195,0.016471329164411685,0.0067389763253709045
North East and Yorkshire,202512,0.3993651162167713,0.804385643412622,0.6771540294220213,0.008492340471811688,-0.038182176127530054
South West,202106,0.2414902581650111,1.3286059575041473,1.2684569506555512,-0.001499859556766625,-0.008736973688238114
South West,202303,0.3459359142175761,1.4873134882567172,1.3562829502208769,-0.03736441598643081,-0.06144147986610449
North East and Yorkshire,202309,0.40412556712771625,1.245605561533316,1.0570167543338445,-0.007289349165306436,-0.05175593814304147
North West,202510,0.4302629956657404,0.9805636151166219,0.8406345469808822,-0.023618392909120434,0.11749904503779407
East of England,202511,0.37730525920763414,0.8235314245319455,0.69492313804085,-0.007429596375039038,-0.0411341543488406
East of England,202205,0.33660613601897577,1.7010020133453752,1.6027771166355047,-0.0016995807456635648,0.02866333813090005
East of England,202407,0.37771465049473346,1.2769363661281854,1.2151364691927764,0.003395370518595453,0.06838479775187056
East of England,202106,0.2064340064853758,1.3572080931315111,1.5030995848509994,-0.015914862223391002,0.13720020704416802
East of England,202207,0.3589421742277832,1.3855572773280422,1.3950677287681592,-0.005576461854325865,0.0009250320301681381
East of England,202501,0.43942211020672367,0.8842193545428041,0.7962454274215901,0.025442642933992732,-0.1834784389120343
Midlands,202107,0.33160599335820073,1.3819313213639999,1.4274543730347549,0.017002135330524693,-0.014930541171798373
North East and Yorkshire,202108,0.28973761895157596,1.339808532555525,1.4289178456902314,0.008024519080260972,0.11061869247932354
Midlands,202110,0.37174175694912415,1.3566494445253874,1.4435090754820572,0.007184046191511417,-0.018270842514496843
East of England,202112,0.3255756468067894,1.3556137245287787,1.3862956882549078,-0.0008329969698087636,0.12080243130279822
Midlands,202305,0.39412311579750336,1.5532356500132145,1.5671338493971467,0.01639656222170688,0.2492460149169855
North East and Yorkshire,202307,0.3786596072529205,1.3189580773011713,1.2207308970911035,0.0002554426567782375,-0.08696226166346399
North East and Yorkshire,202310,0.4311259968663627,1.1281801180007986,1.049091754061639,0.0021043390841933296,-0.20178618906988643
North West,202312,0.46863904094990044,0.8929306020219082,0.8390005798506235,-0.03918427135342689,0.02592839189103824
South East,202402,0.40543310330621074,1.005058058852638,1.1093018695811558,0.006074848180099235,0.02502423023663236
East of England,202403,0.37142617211219203,1.0035130710924594,0.9596507892443296,-0.00833924878172393,-0.090472407819012
South East,202405,0.3576200992636931,1.0642404707297077,1.0133019918739936,-0.008016155192036079,0.04734137620601131
South East,202411,0.4009000299687745,0.8848026704747396,0.8431503222974825,0.008278898380169264,-0.012282577603404121
South East,202505,0.3701160730911921,0.6720643986012892,0.7154013424578685,0.017829959576053267,-0.025587673534043454
London,202601,0.4040768954820739,0.7593199182316271,0.7101569144387454,-0.008427317521204458,0.05896860468530574
North West,202601,0.44310741284385285,0.8618806482296733,0.7065523120461803,-0.03999735390862208,0.05905094470862515
Midlands,202603,0.37262088824977385,0.8931519844628353,0.8234125333631215,-0.022598905070872866,-0.051927492949052745
South West,202112,0.3138739205354742,1.472154444623937,1.511181477526396,-0.03317597225413493,0.33439367403732856
South West,202206,0.35252526140830703,1.4437656901843658,1.4150778527483747,-0.017543265969545307,0.14107321799052785
South West,202403,0.40686167591627687,0.9836351233509754,0.8016424551079928,0.006455006009349951,-0.1597752884923067
Midlands,202408,0.3961704868221151,1.03426845788505,0.9084632405543449,-0.012178702882873982,-0.0577760118182753
London,202509,0.3794109095394592,0.8416250050436737,0.8121509275840594,0.005170681000956356,0.030506153984300344
South East,202104,0.13473000463970877,1.017215900360979,1.046897245500814,-0.012404599343702971,0.007990112353360335
East of England,202206,0.34353252622219843,1.4007802213842688,1.346873720472141,-0.005894752142642956,-0.01583636774874786
Midlands,202209,0.40775446250268826,1.4944362155926239,1.5730280998885322,-0.0030917855801665395,0.14875041865028749
North East and Yorkshire,202502,0.4237359284533201,0.9815421524291703,0.8753767249824439,0.01765198015907682,0.011985734305736795
North West,202509,0.4266599663971331,0.8538758095459992,0.7752758617705349,-0.01818081589056636,-0.0026819694133397576
London,202312,0.4491280876529398,0.9156378610683309,0.8866948261359872,0.011905329098809092,0.06993569576051728
North East and Yorkshire,202111,0.3222078454005548,1.4544242651717623,1.4661250503580445,0.0030303937160611194,-0.02143291867392949
Midlands,202203,0.40053065281518535,1.6162939219736139,1.552315038181909,0.005629431174097754,-0.01250576049092822
Midlands,202204,0.39257143595642113,1.285384414317648,1.132361574240224,-0.0012313766346909727,-0.17380916732677276
East of England,202301,0.3415911228136167,1.3645247161714478,1.5122632343157352,-0.0131628936604129,-0.00684610816369613
South West,202301,0.3508451766816875,1.3347369484845166,1.2784772338077621,-0.024550088805353032,-0.15192665520862714
South East,202304,0.2926516756708785,1.128501241381708,1.0379251844167174,-0.009154781320658334,-0.1150548317672706
East of England,202306,0.41345445455980634,1.1113404381019152,1.0740006030777853,0.0251489164110954,-0.07155220142026253
North West,202309,0.4362465931213498,1.0617935893682096,0.9886885855972029,-0.042643642712486995,-0.03894140217280606
